site_id,ip_addr,readings,outliers,time_stamp
ug01,192_168_1_200,5016,1,2010-10-01 00:00:00
ug01,192_168_1_200,373347,12,2011-09-01 00:00:00
ug01,192_168_1_200,653005,27,2011-10-01 00:00:00
ug01,192_168_1_200,684031,246,2011-11-01 00:00:00
ug01,192_168_1_200,632038,150,2011-12-01 00:00:00
ug01,192_168_1_200,740459,40,2012-01-01 00:00:00
ug01,192_168_1_200,697679,202,2012-02-01 00:00:00
ug01,192_168_1_200,752275,274,2012-03-01 00:00:00
ug01,192_168_1_200,731787,39,2012-04-01 00:00:00
ug01,192_168_1_200,581961,441,2012-05-01 00:00:00
ug01,192_168_1_200,472227,14,2012-06-01 00:00:00
ug01,192_168_1_200,746802,61,2012-07-01 00:00:00
ug01,192_168_1_200,760304,34,2012-08-01 00:00:00
ug01,192_168_1_200,735847,52,2012-09-01 00:00:00
ug01,192_168_1_200,50012,0,2012-10-01 00:00:00
ug01,192_168_1_200,5,1,2013-08-01 00:00:00
ug01,192_168_1_201,1700,0,2010-10-01 00:00:00
ug01,192_168_1_201,99566,4,2011-09-01 00:00:00
ug01,192_168_1_201,180711,10,2011-10-01 00:00:00
ug01,192_168_1_201,175078,246,2011-11-01 00:00:00
ug01,192_168_1_201,180099,11,2011-12-01 00:00:00
ug01,192_168_1_201,223800,12,2012-01-01 00:00:00
ug01,192_168_1_201,177584,8,2012-02-01 00:00:00
ug01,192_168_1_201,157101,3,2012-03-01 00:00:00
ug01,192_168_1_201,88119,1,2012-04-01 00:00:00
ug01,192_168_1_201,106265,3,2012-05-01 00:00:00
ug01,192_168_1_201,65665,2,2012-06-01 00:00:00
ug01,192_168_1_201,125235,3,2012-07-01 00:00:00
ug01,192_168_1_201,221921,7,2012-08-01 00:00:00
ug01,192_168_1_201,195430,1,2012-09-01 00:00:00
ug01,192_168_1_201,184764,0,2012-10-01 00:00:00
ug01,192_168_1_201,149771,0,2012-11-01 00:00:00
ug01,192_168_1_201,141055,1,2012-12-01 00:00:00
ug01,192_168_1_201,122386,0,2013-01-01 00:00:00
ug01,192_168_1_201,141044,779,2013-02-01 00:00:00
ug01,192_168_1_201,148624,0,2013-03-01 00:00:00
ug01,192_168_1_201,273378,0,2013-04-01 00:00:00
ug01,192_168_1_201,304674,21,2013-05-01 00:00:00
ug01,192_168_1_201,247329,0,2013-06-01 00:00:00
ug01,192_168_1_201,173550,0,2013-07-01 00:00:00
ug01,192_168_1_201,194241,0,2013-08-01 00:00:00
ug01,192_168_1_201,119140,234,2013-09-01 00:00:00
ug01,192_168_1_202,1837,0,2010-10-01 00:00:00
ug01,192_168_1_202,79173,4,2011-09-01 00:00:00
ug01,192_168_1_202,191834,9,2011-10-01 00:00:00
ug01,192_168_1_202,157497,8,2011-11-01 00:00:00
ug01,192_168_1_202,147250,9,2011-12-01 00:00:00
ug01,192_168_1_202,165914,12,2012-01-01 00:00:00
ug01,192_168_1_202,127589,2,2012-02-01 00:00:00
ug01,192_168_1_202,149389,5,2012-03-01 00:00:00
ug01,192_168_1_202,163521,2,2012-04-01 00:00:00
ug01,192_168_1_202,136690,4,2012-05-01 00:00:00
ug01,192_168_1_202,90901,4,2012-06-01 00:00:00
ug01,192_168_1_202,151178,7,2012-07-01 00:00:00
ug01,192_168_1_202,182834,7,2012-08-01 00:00:00
ug01,192_168_1_202,190318,2,2012-09-01 00:00:00
ug01,192_168_1_202,215974,0,2012-10-01 00:00:00
ug01,192_168_1_202,132249,0,2012-11-01 00:00:00
ug01,192_168_1_202,186202,1,2012-12-01 00:00:00
ug01,192_168_1_202,153707,0,2013-01-01 00:00:00
ug01,192_168_1_202,145695,0,2013-02-01 00:00:00
ug01,192_168_1_202,197305,0,2013-03-01 00:00:00
ug01,192_168_1_202,156769,0,2013-04-01 00:00:00
ug01,192_168_1_202,203411,0,2013-05-01 00:00:00
ug01,192_168_1_202,190765,0,2013-06-01 00:00:00
ug01,192_168_1_202,204242,0,2013-07-01 00:00:00
ug01,192_168_1_202,228479,0,2013-08-01 00:00:00
ug01,192_168_1_202,66212,627,2013-09-01 00:00:00
ug01,192_168_1_203,1305,0,2010-10-01 00:00:00
ug01,192_168_1_203,62711,3,2011-09-01 00:00:00
ug01,192_168_1_203,95557,6,2011-10-01 00:00:00
ug01,192_168_1_203,104879,1,2011-11-01 00:00:00
ug01,192_168_1_203,62847,4,2011-12-01 00:00:00
ug01,192_168_1_203,71654,5,2012-01-01 00:00:00
ug01,192_168_1_203,71304,1,2012-02-01 00:00:00
ug01,192_168_1_203,88087,1,2012-03-01 00:00:00
ug01,192_168_1_203,86008,1,2012-04-01 00:00:00
ug01,192_168_1_203,90290,3,2012-05-01 00:00:00
ug01,192_168_1_203,53558,0,2012-06-01 00:00:00
ug01,192_168_1_203,54170,3,2012-07-01 00:00:00
ug01,192_168_1_203,73952,4,2012-08-01 00:00:00
ug01,192_168_1_203,74965,0,2012-09-01 00:00:00
ug01,192_168_1_203,128912,0,2012-10-01 00:00:00
ug01,192_168_1_203,72135,0,2012-11-01 00:00:00
ug01,192_168_1_203,117017,0,2012-12-01 00:00:00
ug01,192_168_1_203,86735,0,2013-01-01 00:00:00
ug01,192_168_1_203,80201,0,2013-02-01 00:00:00
ug01,192_168_1_203,121422,0,2013-03-01 00:00:00
ug01,192_168_1_203,146102,116,2013-04-01 00:00:00
ug01,192_168_1_203,124932,0,2013-05-01 00:00:00
ug01,192_168_1_203,113184,65,2013-06-01 00:00:00
ug01,192_168_1_203,97132,0,2013-07-01 00:00:00
ug01,192_168_1_203,106249,0,2013-08-01 00:00:00
ug01,192_168_1_203,37448,0,2013-09-01 00:00:00
ug01,192_168_1_204,1827,0,2010-10-01 00:00:00
ug01,192_168_1_204,502,0,2011-09-01 00:00:00
ug01,192_168_1_204,13394,0,2011-11-01 00:00:00
ug01,192_168_1_204,65556,221,2011-12-01 00:00:00
ug01,192_168_1_204,149656,5,2012-01-01 00:00:00
ug01,192_168_1_204,126574,99,2012-02-01 00:00:00
ug01,192_168_1_204,116645,3,2012-03-01 00:00:00
ug01,192_168_1_204,99882,2,2012-04-01 00:00:00
ug01,192_168_1_204,165631,2,2012-05-01 00:00:00
ug01,192_168_1_204,143460,2,2012-06-01 00:00:00
